"구분","강간발생","강간검거","강도발생","강도검거","살인발생","살인검거","절도발생","절도검거","폭력발생","폭력검거"
"강남",160,138,124,125,8,10,1573,1098,3545,3307
"강동",86,82,34,30,5,6,887,1210,2729,2759
"강북",82,74,28,25,10,9,659,460,2650,2619
"강서",112,93,86,65,10,8,1722,866,3485,3295
"관악",144,82,68,43,5,4,1727,678,2730,2503
"광진",156,135,72,91,16,16,1434,884,3219,3153
"구로",142,98,59,39,10,11,1657,581,3205,2957
"금천",91,80,139,108,14,14,1854,770,3664,3356
"남대문",29,31,10,6,1,1,357,294,908,891
"노원",60,61,17,14,10,11,1200,981,2232,2193
"도봉",64,58,23,27,6,7,1037,832,2607,2569
"동대문",106,104,63,43,3,3,794,753,2936,2907
"동작",102,89,66,42,11,8,1343,601,2382,2245
"마포",107,86,71,39,4,5,1823,609,2983,2699
"방배",135,59,30,34,3,3,663,348,1480,1423
"서대문",97,88,43,70,5,4,1161,632,1842,1701
"서부",54,49,37,24,6,5,1003,630,2161,2084
"서초",143,85,47,35,7,6,1017,973,2372,2206
"성동",72,56,56,16,6,6,1406,698,2290,2158
"성북",62,44,22,28,5,6,796,503,1391,1322
"송파",68,65,35,28,10,9,1406,444,2561,2366
"수서",93,81,48,35,5,5,1441,893,2207,2010
"양천",79,75,39,18,12,10,1126,772,2703,2446
"영등포",87,80,30,26,4,3,938,645,2429,2317
"용산",83,87,56,50,9,9,602,542,1766,1756
"은평",50,52,23,25,7,6,596,483,1760,1766
"종로",59,49,24,17,3,3,523,341,1370,1288
"종암",95,91,34,50,6,5,943,904,2251,2167
"중랑",103,84,72,68,14,15,1066,747,3567,3549
"중부",89,38,10,8,2,3,505,369,1328,1224
"혜화",103,69,15,14,2,2,698,744,2051,1999
