"","구분","강간발생","강간검거","강도발생","강도검거","살인발생","살인검거","절도발생","절도검거","폭력발생","폭력검거"
"1","강남",456,366,13,16,6,6,2069,787,2229,1942
"2","강동",172,169,10,12,5,6,1645,949,2429,2109
"3","강북",208,153,7,5,8,8,1014,635,2156,2023
"4","강서",316,253,4,6,11,11,1888,1113,2916,2544
"5","관악",379,323,7,6,8,7,1979,1152,3152,2666
"6","광진",261,208,13,8,6,5,2220,1168,2146,1900
"7","구로",328,181,8,6,7,8,1725,869,2827,2344
"8","금천",240,212,5,5,5,5,1141,674,1874,1676
"9","남대문",94,62,3,3,1,0,785,400,863,780
"10","노원",180,155,9,7,4,4,1538,757,2478,2124
"11","도봉",104,115,3,3,1,1,633,417,1258,1116
"12","동대문",165,149,3,5,11,10,1547,1017,2249,2093
"13","동작",396,173,7,9,1,1,1226,593,1700,1466
"14","마포",500,429,8,8,3,3,2094,837,2673,2222
"15","방배",65,60,4,5,1,2,364,176,515,466
"16","서대문",202,181,1,2,4,4,1230,719,1676,1393
"17","서부",93,79,2,2,3,3,553,375,904,844
"18","서초",405,223,9,2,8,8,1448,659,1889,1636
"19","성동",132,106,3,3,1,1,1072,543,1559,1378
"20","성북",107,72,5,5,5,5,701,332,1005,855
"21","송파",288,242,1,3,6,6,2274,1026,3007,2593
"22","수서",151,130,7,8,1,1,1061,596,1727,1469
"23","양천",138,122,3,2,3,2,1590,756,2148,1778
"24","영등포",455,267,5,5,15,13,2304,1108,3190,2619
"25","용산",327,289,5,4,1,1,1346,626,2381,2016
"26","은평",137,134,2,2,3,3,834,559,1352,1206
"27","종로",131,103,5,4,5,3,910,360,1220,1059
"28","종암",66,62,3,3,2,2,643,371,897,772
"29","중랑",172,144,3,4,5,5,1533,813,2858,2426
"30","중부",173,87,6,6,0,0,1061,489,1198,1024
"31","혜화",122,70,5,4,2,2,734,298,923,778
