기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2018.3/4	합계	4,254,018	10,068,381	4,922,959	5,145,422	9,793,003	4,789,821	5,003,182	275,378	133,138	142,240	2.3	1,405,404
2018.3/4	종로구	73,696	163,086	79,301	83,785	153,396	75,024	78,372	9,690	4,277	5,413	2.08	26,622
2018.3/4	중구	61,232	135,258	66,554	68,704	125,815	62,063	63,752	9,443	4,491	4,952	2.05	21,902
2018.3/4	용산구	108,777	245,087	119,830	125,257	229,391	110,861	118,530	15,696	8,969	6,727	2.11	37,443
2018.3/4	성동구	136,831	317,197	155,652	161,545	309,251	152,006	157,245	7,946	3,646	4,300	2.26	42,581
2018.3/4	광진구	161,714	369,999	179,120	190,879	355,032	172,678	182,354	14,967	6,442	8,525	2.2	45,202
2018.3/4	동대문구	162,232	366,101	180,817	185,284	350,556	174,863	175,693	15,545	5,954	9,591	2.16	57,096
2018.3/4	중랑구	180,044	409,058	203,014	206,044	404,313	201,089	203,224	4,745	1,925	2,820	2.25	61,271
2018.3/4	성북구	186,744	449,574	217,656	231,918	438,031	213,159	224,872	11,543	4,497	7,046	2.35	67,447
2018.3/4	강북구	143,172	324,276	158,263	166,013	320,576	156,829	163,747	3,700	1,434	2,266	2.24	57,741
2018.3/4	도봉구	137,901	342,990	167,726	175,264	340,876	166,926	173,950	2,114	800	1,314	2.47	55,499
2018.3/4	노원구	217,900	551,069	267,318	283,751	546,911	265,555	281,356	4,158	1,763	2,395	2.51	76,466
2018.3/4	은평구	203,951	487,849	236,029	251,820	483,417	234,119	249,298	4,432	1,910	2,522	2.37	76,643
2018.3/4	서대문구	138,027	322,497	153,727	168,770	310,584	149,728	160,856	11,913	3,999	7,914	2.25	50,278
2018.3/4	마포구	171,320	385,032	182,174	202,858	374,106	177,973	196,133	10,926	4,201	6,725	2.18	50,559
2018.3/4	양천구	176,598	469,945	231,360	238,585	466,121	229,619	236,502	3,824	1,741	2,083	2.64	57,442
2018.3/4	강서구	257,558	605,068	294,128	310,940	598,416	290,908	307,508	6,652	3,220	3,432	2.32	78,814
2018.3/4	구로구	172,121	439,234	220,323	218,911	406,144	201,362	204,782	33,090	18,961	14,129	2.36	61,293
2018.3/4	금천구	106,774	252,359	129,482	122,877	232,760	118,311	114,449	19,599	11,171	8,428	2.18	35,299
2018.3/4	영등포구	170,208	403,724	203,134	200,590	368,577	183,471	185,106	35,147	19,663	15,484	2.17	55,364
2018.3/4	동작구	175,873	407,925	198,184	209,741	395,513	192,523	202,990	12,412	5,661	6,751	2.25	58,803
2018.3/4	관악구	261,401	521,685	261,905	259,780	503,956	253,377	250,579	17,729	8,528	9,201	1.93	71,840
2018.3/4	서초구	173,912	441,539	211,513	230,026	437,407	209,418	227,989	4,132	2,095	2,037	2.52	54,887
2018.3/4	강남구	228,883	549,255	263,137	286,118	544,257	260,599	283,658	4,998	2,538	2,460	2.38	66,412
2018.3/4	송파구	269,558	673,582	327,054	346,528	666,892	323,832	343,060	6,690	3,222	3,468	2.47	80,220
2018.3/4	강동구	177,591	434,992	215,558	219,434	430,705	213,528	217,177	4,287	2,030	2,257	2.43	58,280
