기간	지역	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	지역	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	등록외국인	등록외국인	등록외국인
기간	지역	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2018.3/4	합계	10,068,381	4,922,959	5,145,422	1,405,404	620,435	784,969	1,399,494	617,313	782,181	5,910	3,122	2,788
2018.3/4	종로구	163,086	79,301	83,785	26,622	11,706	14,916	26,455	11,612	14,843	167	94	73
2018.3/4	중구	135,258	66,554	68,704	21,902	9,593	12,309	21,651	9,460	12,191	251	133	118
2018.3/4	용산구	245,087	119,830	125,257	37,443	15,785	21,658	37,015	15,521	21,494	428	264	164
2018.3/4	성동구	317,197	155,652	161,545	42,581	18,552	24,029	42,438	18,467	23,971	143	85	58
2018.3/4	광진구	369,999	179,120	190,879	45,202	20,146	25,056	45,016	20,057	24,959	186	89	97
2018.3/4	동대문구	366,101	180,817	185,284	57,096	25,281	31,815	56,915	25,199	31,716	181	82	99
2018.3/4	중랑구	409,058	203,014	206,044	61,271	27,277	33,994	61,189	27,236	33,953	82	41	41
2018.3/4	성북구	449,574	217,656	231,918	67,447	29,030	38,417	67,305	28,961	38,344	142	69	73
2018.3/4	강북구	324,276	158,263	166,013	57,741	24,831	32,910	57,640	24,781	32,859	101	50	51
2018.3/4	도봉구	342,990	167,726	175,264	55,499	24,634	30,865	55,462	24,613	30,849	37	21	16
2018.3/4	노원구	551,069	267,318	283,751	76,466	32,000	44,466	76,400	31,973	44,427	66	27	39
2018.3/4	은평구	487,849	236,029	251,820	76,643	33,230	43,413	76,483	33,149	43,334	160	81	79
2018.3/4	서대문구	322,497	153,727	168,770	50,278	21,227	29,051	49,871	21,025	28,846	407	202	205
2018.3/4	마포구	385,032	182,174	202,858	50,559	21,222	29,337	50,271	21,075	29,196	288	147	141
2018.3/4	양천구	469,945	231,360	238,585	57,442	25,612	31,830	57,338	25,560	31,778	104	52	52
2018.3/4	강서구	605,068	294,128	310,940	78,814	34,846	43,968	78,596	34,710	43,886	218	136	82
2018.3/4	구로구	439,234	220,323	218,911	61,293	28,188	33,105	60,579	27,783	32,796	714	405	309
2018.3/4	금천구	252,359	129,482	122,877	35,299	16,098	19,201	34,913	15,891	19,022	386	207	179
2018.3/4	영등포구	403,724	203,134	200,590	55,364	25,012	30,352	54,571	24,590	29,981	793	422	371
2018.3/4	동작구	407,925	198,184	209,741	58,803	25,648	33,155	58,590	25,543	33,047	213	105	108
2018.3/4	관악구	521,685	261,905	259,780	71,840	32,163	39,677	71,475	31,991	39,484	365	172	193
2018.3/4	서초구	441,539	211,513	230,026	54,887	24,908	29,979	54,795	24,861	29,934	92	47	45
2018.3/4	강남구	549,255	263,137	286,118	66,412	29,830	36,582	66,282	29,764	36,518	130	66	64
2018.3/4	송파구	673,582	327,054	346,528	80,220	37,008	43,212	80,060	36,926	43,134	160	82	78
2018.3/4	강동구	434,992	215,558	219,434	58,280	26,608	31,672	58,184	26,565	31,619	96	43	53
