기간	구분	개소	좌석수	자료수	자료수	자료수	도서관 방문자수	자료실 이용자수	연간대출 책수	직원수	직원수	직원수	예산
기간	구분	개소	좌석수	도서	비도서	연속간행물(종)	도서관 방문자수	자료실 이용자수	연간대출 책수	계	남자	여자	예산
2017	합계	160	45,057	13,484,498	550,179	25,734	64,248,566	48,554,365	22,662,045	2,449	697	1,752	140,224
2017	종로구	6	2,323	1,160,477	50,857	2,352	3,944,560	2,380,202	1,152,055	153	48	105	10,501
2017	중구	5	699	526,971	22,771	660	1,735,704	1,445,876	505,604	93	19	74	5,617
2017	용산구	4	2,129	853,811	35,185	1,573	2,230,197	1,453,499	570,530	93	24	69	7,369
2017	성동구	6	1,691	479,499	22,873	527	3,069,923	2,747,798	765,903	99	25	74	6,363
2017	광진구	4	1,346	337,735	8,673	534	2,064,770	1,890,313	1,481,168	48	17	31	3,218
2017	동대문구	4	1,280	428,589	22,919	1,323	1,896,366	1,237,370	648,625	96	36	60	4,781
2017	중랑구	3	1,001	341,732	14,091	302	2,277,121	1,751,705	542,438	48	10	38	2,623
2017	성북구	10	1,491	577,308	27,349	749	1,532,752	953,998	745,227	113	30	83	4,181
2017	강북구	7	1,835	413,532	14,168	281	1,998,217	1,426,002	535,411	82	34	48	2,636
2017	도봉구	7	2,031	609,326	28,437	952	1,536,583	1,028,850	763,840	90	30	60	5,982
2017	노원구	7	2,914	720,915	31,156	756	4,254,820	2,573,910	1,488,487	142	34	108	7,786
2017	은평구	6	2,377	442,021	25,495	1,136	2,527,624	2,014,965	865,830	131	45	86	6,389
2017	서대문구	4	962	430,335	15,426	1,068	1,728,689	990,003	545,575	67	16	51	4,333
2017	마포구	6	2,303	562,094	36,154	1,411	3,672,730	2,616,460	980,600	162	47	115	12,205
2017	양천구	6	1,621	472,592	21,521	942	2,630,629	2,461,248	1,088,735	83	13	70	4,539
2017	강서구	9	2,973	607,244	21,047	1,176	3,062,242	2,635,497	1,179,363	126	41	85	6,572
2017	구로구	11	2,497	702,537	22,183	1,422	2,592,824	2,125,322	923,036	123	34	89	6,090
2017	금천구	4	1,213	303,507	16,151	357	1,877,906	1,447,579	607,529	52	18	34	1,995
2017	영등포구	5	1,069	417,117	21,626	804	1,884,477	1,371,883	522,036	85	19	66	5,009
2017	동작구	5	1,079	308,903	10,272	663	1,471,142	1,264,344	850,749	57	23	34	3,315
2017	관악구	5	1,040	391,232	8,910	1,055	1,154,821	764,550	521,239	71	29	42	4,555
2017	서초구	4	734	162,111	4,487	222	1,374,303	993,479	495,860	29	9	20	1,913
2017	강남구	12	2,596	767,827	28,409	1,702	5,449,475	3,873,523	1,548,542	145	24	121	6,468
2017	송파구	12	2,436	609,611	15,504	2,059	4,061,787	3,362,531	1,658,522	140	43	97	8,053
2017	강동구	8	3,417	857,472	24,515	1,708	4,218,904	3,743,458	1,675,141	121	29	92	7,734
