기간	행정구역	출생시 기대수명	출생시 기대수명	출생시 기대수명
기간	행정구역	전체	남자	여자
2016	서울시	82.28	79.87	84.75
2016	종로구	81.57	78.63	84.74
2016	중구	81.57	78.38	85.06
2016	용산구	82.17	79.47	84.84
2016	성동구	82.21	79.91	84.58
2016	광진구	82.45	79.9	85.14
2016	동대문구	81.52	78.95	84.25
2016	중랑구	81.5	78.75	84.47
2016	성북구	82.29	79.72	84.91
2016	강북구	81.21	78.18	84.39
2016	도봉구	81.97	79.75	84.24
2016	노원구	81.65	79	84.19
2016	은평구	81.94	79.24	84.69
2016	서대문구	82.44	79.96	84.85
2016	마포구	82.51	80.05	84.87
2016	양천구	82.33	80.04	84.66
2016	강서구	81.83	79.28	84.43
2016	구로구	82.37	80.12	84.76
2016	금천구	81.26	78.7	84.09
2016	영등포구	82.41	79.98	85
2016	동작구	82.81	80.84	84.74
2016	관악구	82.07	79.48	84.81
2016	서초구	83.96	82.29	85.66
2016	강남구	83.65	81.96	85.33
2016	송파구	83.24	81.48	85.04
2016	강동구	82.43	80.13	84.87
