기간	자치구	합계	합계	합계	특정 감염성 및 기생충성 질환	특정 감염성 및 기생충성 질환	특정 감염성 및 기생충성 질환	신생물	신생물	신생물	혈액 및 조혈기관질환과 면역기전을 침범하는 특정장애	혈액 및 조혈기관질환과 면역기전을 침범하는 특정장애	혈액 및 조혈기관질환과 면역기전을 침범하는 특정장애	내분비 영양 및 대사 질환	내분비 영양 및 대사 질환	내분비 영양 및 대사 질환	정신 및 행동장애	정신 및 행동장애	정신 및 행동장애	신경계통의 질환	신경계통의 질환	신경계통의 질환	순환기계통의 질환	순환기계통의 질환	순환기계통의 질환	호흡기계통의 질환	호흡기계통의 질환	호흡기계통의 질환	소화기계통의 질환	소화기계통의 질환	소화기계통의 질환	피부 및 피부밑조직의 질환	피부 및 피부밑조직의 질환	피부 및 피부밑조직의 질환	근육골격계통 및 결합 조직의 질환	근육골격계통 및 결합 조직의 질환	근육골격계통 및 결합 조직의 질환	비뇨생식기계통의 질환	비뇨생식기계통의 질환	비뇨생식기계통의 질환	임신 출산 및 산후기	임신 출산 및 산후기	출생전후기에 기원한 특정병태	출생전후기에 기원한 특정병태	출생전후기에 기원한 특정병태	선천 기형 변형 및 염색체 이상	선천 기형 변형 및 염색체 이상	선천 기형 변형 및 염색체 이상	달리 분류되지 않은 증상 징후	달리 분류되지 않은 증상 징후	달리 분류되지 않은 증상 징후	질병이환 및 사망의 외인	질병이환 및 사망의 외인	질병이환 및 사망의 외인
기간	자치구	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2017	합계	42,932	24,135	18,797	1,063	579	484	13,122	8,106	5,016	105	45	60	1,428	781	647	646	347	299	1,864	786	1,078	8,780	4,573	4,207	4,275	2,480	1,795	1,721	1,120	601	58	24	34	244	64	180	1,109	513	596	4	4	81	51	30	52	32	20	4,254	1,788	2,466	4,126	2,846	1,280
2017	종로구	826	478	348	25	17	8	262	161	101	3	3	-	25	18	7	10	6	4	28	9	19	172	95	77	79	51	28	29	17	12	1	1	-	3	1	2	23	12	11	-	-	-	-	-	1	-	1	87	31	56	78	56	22
2017	중구	684	384	300	17	8	9	197	128	69	1	-	1	16	11	5	13	8	5	29	10	19	154	75	79	78	52	26	35	26	9	-	-	-	2	-	2	12	1	11	-	-	3	2	1	1	-	1	70	26	44	56	37	19
2017	용산구	1,150	662	488	39	23	16	356	212	144	3	2	1	37	19	18	21	10	11	49	22	27	226	128	98	128	83	45	34	20	14	-	-	-	6	3	3	31	11	20	-	-	4	2	2	1	-	1	112	52	60	103	75	28
2017	성동구	1,399	797	602	40	17	23	408	253	155	1	-	1	35	22	13	23	11	12	58	24	34	260	139	121	173	96	77	66	44	22	1	1	-	4	1	3	32	14	18	-	-	1	-	1	4	3	1	153	70	83	140	102	38
2017	광진구	1,346	781	565	44	24	20	430	277	153	7	2	5	33	15	18	20	11	9	49	19	30	276	155	121	136	85	51	43	28	15	1	-	1	9	2	7	39	24	15	-	-	2	1	1	-	-	-	123	43	80	134	95	39
2017	동대문구	1,780	1,053	727	61	33	28	508	323	185	4	3	1	51	28	23	31	17	14	69	29	40	369	220	149	228	135	93	77	47	30	2	-	2	7	1	6	48	21	27	-	-	3	3	-	1	-	1	179	77	102	142	116	26
2017	중랑구	2,068	1,206	862	53	28	25	612	407	205	4	-	4	58	29	29	28	21	7	83	28	55	355	189	166	255	136	119	82	62	20	4	2	2	11	3	8	52	21	31	-	-	4	3	1	-	-	-	249	121	128	218	156	62
2017	성북구	2,097	1,166	931	65	34	31	602	364	238	6	1	5	77	40	37	29	19	10	86	44	42	459	245	214	261	147	114	67	43	24	3	1	2	14	5	9	45	17	28	-	-	2	2	-	3	2	1	196	76	120	182	126	56
