기간	구분	성별	계	1세미만	1~9세	10~19세	20~29세	30~39세	40~49세	50~59세	60~69세	70~79세	80세이상	연령미상
2017	합계	계	1,431,867	39,254	214,997	94,374	177,862	169,221	152,446	186,855	165,841	141,021	89,983	13
2017	합계	남자	717,331	21,969	122,366	53,226	72,823	77,734	77,395	92,943	87,464	73,852	37,556	3
2017	합계	여자	714,536	17,285	92,631	41,148	105,039	91,487	75,051	93,912	78,377	67,169	52,427	10
2017	종로구	계	19,993	341	2,407	1,204	2,885	2,329	2,152	2,635	2,135	2,307	1,598	-
2017	종로구	남자	10,052	172	1,358	664	1,230	1,055	1,133	1,410	1,191	1,135	704	-
2017	종로구	여자	9,941	169	1,049	540	1,655	1,274	1,019	1,225	944	1,172	894	-
2017	중구	계	19,487	266	2,094	960	2,743	2,497	2,317	2,906	2,304	1,945	1,455	-
2017	중구	남자	9,683	137	1,206	482	1,114	1,200	1,245	1,551	1,272	930	546	-
2017	중구	여자	9,804	129	888	478	1,629	1,297	1,072	1,355	1,032	1,015	909	-
2017	용산구	계	30,711	553	4,064	2,018	4,067	4,296	3,637	3,897	3,112	2,756	2,311	-
2017	용산구	남자	14,891	311	2,287	1,104	1,624	1,970	1,823	1,962	1,621	1,286	903	-
2017	용산구	여자	15,820	242	1,777	914	2,443	2,326	1,814	1,935	1,491	1,470	1,408	-
2017	성동구	계	38,337	918	5,640	2,337	5,209	5,010	4,187	4,943	4,002	3,638	2,453	-
2017	성동구	남자	18,914	537	3,141	1,321	2,117	2,346	2,105	2,412	2,078	1,868	989	-
2017	성동구	여자	19,423	381	2,499	1,016	3,092	2,664	2,082	2,531	1,924	1,770	1,464	-
2017	광진구	계	40,708	1,072	5,856	2,796	6,323	5,318	4,342	5,205	4,090	3,528	2,173	5
2017	광진구	남자	19,618	579	3,361	1,502	2,358	2,404	2,031	2,430	2,044	1,977	932	-
2017	광진구	여자	21,090	493	2,495	1,294	3,965	2,914	2,311	2,775	2,046	1,551	1,241	5
2017	동대문구	계	44,428	898	5,552	2,928	6,129	5,097	4,579	6,094	5,150	4,962	3,039	-
2017	동대문구	남자	22,069	497	3,071	1,623	2,585	2,363	2,400	3,126	2,626	2,593	1,185	-
2017	동대문구	여자	22,359	401	2,481	1,305	3,544	2,734	2,179	2,968	2,524	2,369	1,854	-
2017	중랑구	계	50,320	1,381	7,153	3,277	5,298	5,879	5,547	7,360	5,982	4,969	3,474	-
2017	중랑구	남자	24,966	731	4,153	1,927	2,234	2,677	2,752	3,597	3,159	2,458	1,278	-
2017	중랑구	여자	25,354	650	3,000	1,350	3,064	3,202	2,795	3,763	2,823	2,511	2,196	-
2017	성북구	계	50,249	1,205	7,497	3,749	6,538	5,349	5,371	6,175	5,389	5,410	3,566	-
2017	성북구	남자	24,901	689	4,260	2,118	2,765	2,437	2,691	3,055	2,769	2,664	1,453	-
2017	성북구	여자	25,348	516	3,237	1,631	3,773	2,912	2,680	3,120	2,620	2,746	2,113	-
2017	강북구	계	37,563	779	5,145	2,469	3,817	3,588	4,167	5,303	4,883	4,687	2,725	-
2017	강북구	남자	18,629	440	2,916	1,437	1,540	1,737	1,988	2,596	2,455	2,338	1,182	-
2017	강북구	여자	18,934	339	2,229	1,032	2,277	1,851	2,179	2,707	2,428	2,349	1,543	-
2017	도봉구	계	47,424	863	6,169	3,894	4,955	5,513	5,440	6,878	5,446	4,864	3,401	1
2017	도봉구	남자	23,631	471	3,645	2,239	2,166	2,845	2,675	3,194	2,756	2,358	1,282	-
2017	도봉구	여자	23,793	392	2,524	1,655	2,789	2,668	2,765	3,684	2,690	2,506	2,119	1
2017	노원구	계	71,700	1,496	9,648	6,781	7,945	7,820	8,191	10,051	7,922	6,656	5,190	-
2017	노원구	남자	35,077	828	5,532	4,157	3,452	3,470	3,878	4,803	3,917	3,115	1,925	-
2017	노원구	여자	36,623	668	4,116	2,624	4,493	4,350	4,313	5,248	4,005	3,541	3,265	-
2017	은평구	계	28,944	1,213	5,924	1,759	2,391	2,660	2,816	3,340	3,488	3,381	1,972	-
2017	은평구	남자	15,134	698	3,389	1,031	1,081	1,176	1,463	1,723	1,848	1,775	950	-
2017	은평구	여자	13,810	515	2,535	728	1,310	1,484	1,353	1,617	1,640	1,606	1,022	-
2017	서대문구	계	26,429	846	4,834	1,685	3,644	2,692	2,481	2,968	2,624	2,848	1,807	-
2017	서대문구	남자	13,115	462	2,695	899	1,455	1,284	1,209	1,514	1,381	1,395	821	-
2017	서대문구	여자	13,314	384	2,139	786	2,189	1,408	1,272	1,454	1,243	1,453	986	-
2017	마포구	계	35,092	1,215	6,711	2,167	4,367	4,381	3,545	3,531	3,266	3,503	2,406	-
2017	마포구	남자	17,184	674	3,841	1,126	1,580	1,951	1,800	1,730	1,588	1,772	1,122	-
2017	마포구	여자	17,908	541	2,870	1,041	2,787	2,430	1,745	1,801	1,678	1,731	1,284	-
2017	양천구	계	35,967	1,398	7,446	3,241	3,580	3,589	3,743	4,378	3,627	2,857	2,108	-
2017	양천구	남자	17,988	793	4,249	1,959	1,458	1,527	1,772	2,107	1,905	1,424	794	-
2017	양천구	여자	17,979	605	3,197	1,282	2,122	2,062	1,971	2,271	1,722	1,433	1,314	-
2017	강서구	계	43,895	2,407	10,470	2,489	4,079	4,840	3,764	4,852	4,643	3,814	2,537	-
2017	강서구	남자	22,445	1,403	5,998	1,384	1,618	2,198	1,976	2,423	2,427	2,039	979	-
2017	강서구	여자	21,450	1,004	4,472	1,105	2,461	2,642	1,788	2,429	2,216	1,775	1,558	-
2017	구로구	계	40,754	1,502	7,676	2,266	4,570	5,239	4,302	5,176	4,553	3,512	1,958	-
2017	구로구	남자	20,640	829	4,403	1,307	1,861	2,479	2,261	2,586	2,356	1,737	821	-
2017	구로구	여자	20,114	673	3,273	959	2,709	2,760	2,041	2,590	2,197	1,775	1,137	-
2017	금천구	계	24,478	810	4,370	1,583	2,736	2,837	2,670	3,499	2,724	2,162	1,087	-
2017	금천구	남자	12,065	482	2,447	886	1,128	1,257	1,295	1,695	1,382	1,056	437	-
2017	금천구	여자	12,413	328	1,923	697	1,608	1,580	1,375	1,804	1,342	1,106	650	-
2017	영등포구	계	53,560	1,604	9,457	3,585	6,334	6,980	5,671	7,122	5,460	4,438	2,909	-
2017	영등포구	남자	26,699	894	5,342	2,081	2,473	3,173	2,888	3,584	2,794	2,256	1,214	-
2017	영등포구	여자	26,861	710	4,115	1,504	3,861	3,807	2,783	3,538	2,666	2,182	1,695	-
2017	동작구	계	50,807	1,210	8,215	3,400	6,890	6,296	5,050	6,100	5,393	4,953	3,300	-
2017	동작구	남자	24,636	699	4,666	1,930	2,718	2,865	2,357	2,853	2,656	2,531	1,361	-
2017	동작구	여자	26,171	511	3,549	1,470	4,172	3,431	2,693	3,247	2,737	2,422	1,939	-
2017	관악구	계	69,622	1,692	8,891	4,081	12,621	9,268	6,918	8,197	7,537	6,742	3,675	-
2017	관악구	남자	32,944	895	4,978	2,160	4,854	4,320	3,499	3,723	3,630	3,456	1,429	-
2017	관악구	여자	36,678	797	3,913	1,921	7,767	4,948	3,419	4,474	3,907	3,286	2,246	-
2017	서초구	계	47,287	1,084	8,000	3,849	5,620	6,042	5,451	5,274	5,020	3,964	2,983	-
2017	서초구	남자	22,825	586	4,537	2,263	2,159	2,580	2,582	2,311	2,484	2,127	1,196	-
2017	서초구	여자	24,462	498	3,463	1,586	3,461	3,462	2,869	2,963	2,536	1,837	1,787	-
2017	강남구	계	63,648	1,279	8,894	5,366	9,061	9,344	7,207	7,441	6,369	5,039	3,648	-
2017	강남구	남자	30,260	723	5,265	3,096	3,374	3,881	3,346	3,472	3,043	2,617	1,443	-
