기간	컬럼1	계	의사	치과의사	한의사	약사	조산사	간호사	간호조무사	의료기사	의무기록사
2017	합계	143,677	28,144	7,009	4,882	2,234	22	45,045	27,058	28,338	945
2017	종로구	8,720	2,267	431	156	161	-	3,363	833	1,476	33
2017	중구	4,717	910	282	121	37	-	1,399	799	1,126	43
2017	용산구	2,318	532	138	77	23	10	718	484	325	11
2017	성동구	3,206	688	163	103	36	-	823	652	724	17
2017	광진구	4,338	915	198	133	45	-	1,262	942	819	24
2017	동대문구	6,945	1,159	357	324	67	2	2,348	1,321	1,300	67
2017	중랑구	3,966	621	186	125	28	-	1,276	927	773	30
2017	성북구	4,205	830	156	133	54	-	1,290	876	828	38
2017	강북구	2,644	385	146	110	15	-	405	935	634	14
2017	도봉구	2,362	400	133	103	20	-	716	459	518	13
2017	노원구	5,865	1,285	245	195	63	-	1,949	1,128	970	30
2017	은평구	2,899	447	138	130	13	3	681	810	664	13
2017	서대문구	6,871	1,430	358	130	126	-	2,989	758	1,044	36
2017	마포구	2,725	494	261	196	4	-	297	758	707	8
2017	양천구	4,736	863	231	211	47	2	1,582	806	972	22
2017	강서구	5,066	636	268	209	30	-	1,122	1,398	1,366	37
2017	구로구	5,170	963	227	131	49	1	1,575	1,149	1,037	38
2017	금천구	2,102	296	165	114	7	-	315	632	564	9
2017	영등포구	7,321	1,386	303	182	79	-	2,431	1,425	1,461	54
2017	동작구	5,139	988	227	154	75	-	1,813	881	960	41
2017	관악구	2,823	461	224	173	16	4	491	691	747	16
2017	서초구	9,288	1,820	495	510	107	-	2,784	1,602	1,921	49
2017	강남구	21,038	4,727	876	587	814	-	6,211	3,814	3,870	139
2017	송파구	11,779	2,321	432	296	192	-	4,719	1,611	2,089	119
2017	강동구	7,434	1,320	369	279	126	-	2,486	1,367	1,443	44
