기간	행정구역별	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상
2018.3/4	합계	계	10,068,381	338,142	374,781	387,175	489,136	703,480	820,421	765,839	843,687	764,200	885,478	789,536	823,093	678,009	470,667	369,522	288,178	162,171	73,417	27,178	8,485	5,786
2018.3/4	합계	한국인	9,793,003	329,985	368,598	383,475	481,609	664,870	789,028	735,625	820,142	744,729	859,457	758,853	791,547	665,591	467,219	368,350	287,565	161,790	73,238	27,105	8,460	5,767
2018.3/4	합계	등록외국인	275,378	8,157	6,183	3,700	7,527	38,610	31,393	30,214	23,545	19,471	26,021	30,683	31,546	12,418	3,448	1,172	613	381	179	73	25	19
2018.3/4	종로구	계	163,086	4,091	4,911	5,423	7,898	14,413	13,759	11,234	11,487	10,988	14,233	13,264	13,723	11,040	7,750	6,606	5,935	3,502	1,663	670	267	229
2018.3/4	종로구	한국인	153,396	3,930	4,748	5,315	7,270	11,265	12,492	10,433	10,792	10,464	13,656	12,706	13,113	10,757	7,647	6,580	5,919	3,491	1,653	669	267	229
2018.3/4	종로구	등록외국인	9,690	161	163	108	628	3,148	1,267	801	695	524	577	558	610	283	103	26	16	11	10	1	-	-
2018.3/4	중구	계	135,258	4,245	3,945	3,498	4,921	9,658	11,518	11,055	11,370	9,530	11,019	10,816	11,903	9,878	6,713	5,457	4,688	2,764	1,389	532	184	175
2018.3/4	중구	한국인	125,815	3,979	3,718	3,322	4,512	7,894	10,351	10,046	10,621	8,854	10,312	10,021	11,058	9,476	6,584	5,413	4,649	2,741	1,378	530	181	175
2018.3/4	중구	등록외국인	9,443	266	227	176	409	1,764	1,167	1,009	749	676	707	795	845	402	129	44	39	23	11	2	3	-
2018.3/4	용산구	계	245,087	7,900	8,395	8,178	10,244	15,124	20,296	20,761	21,840	18,879	21,740	18,818	19,413	16,056	10,975	9,089	8,034	5,179	2,472	995	361	338
2018.3/4	용산구	한국인	229,391	7,262	7,615	7,607	9,770	13,929	18,551	18,569	19,799	17,181	20,340	17,709	18,487	15,557	10,738	8,990	7,976	5,159	2,468	990	358	336
2018.3/4	용산구	등록외국인	15,696	638	780	571	474	1,195	1,745	2,192	2,041	1,698	1,400	1,109	926	499	237	99	58	20	4	5	3	2
2018.3/4	성동구	계	317,197	12,530	11,185	10,327	13,342	23,084	26,839	26,222	28,685	23,928	26,889	24,929	26,070	20,586	13,680	11,117	9,139	5,206	2,217	745	245	232
2018.3/4	성동구	한국인	309,251	12,309	11,052	10,267	13,124	21,337	25,649	25,350	28,086	23,454	26,310	24,224	25,367	20,284	13,591	11,094	9,125	5,199	2,213	744	243	229
2018.3/4	성동구	등록외국인	7,946	221	133	60	218	1,747	1,190	872	599	474	579	705	703	302	89	23	14	7	4	1	2	3
2018.3/4	광진구	계	369,999	11,547	12,361	13,068	17,292	30,116	36,260	31,532	31,070	26,866	31,539	29,267	30,333	23,546	15,301	11,999	9,222	5,146	2,279	801	268	186
2018.3/4	광진구	한국인	355,032	11,124	12,066	12,925	16,684	26,828	34,311	30,082	30,101	26,110	30,404	27,769	28,621	22,991	15,187	11,966	9,208	5,128	2,275	800	266	186
2018.3/4	광진구	등록외국인	14,967	423	295	143	608	3,288	1,949	1,450	969	756	1,135	1,498	1,712	555	114	33	14	18	4	1	2	-
2018.3/4	동대문구	계	366,101	11,490	12,107	11,827	16,294	32,255	31,372	26,001	29,084	26,008	29,762	27,574	29,714	25,517	18,100	15,032	12,473	6,946	2,894	1,041	353	257
2018.3/4	동대문구	한국인	350,556	11,257	11,952	11,731	15,369	25,994	28,661	24,707	28,327	25,450	29,107	26,867	29,006	25,213	18,001	14,994	12,456	6,927	2,888	1,039	353	257
2018.3/4	동대문구	등록외국인	15,545	233	155	96	925	6,261	2,711	1,294	757	558	655	707	708	304	99	38	17	19	6	2	-	-
2018.3/4	중랑구	계	409,058	13,257	13,681	13,305	17,929	26,978	31,752	30,196	33,393	28,516	34,655	34,851	38,197	31,077	21,119	16,326	12,696	6,749	2,866	1,022	325	168
2018.3/4	중랑구	한국인	404,313	13,070	13,544	13,219	17,835	26,579	31,146	29,561	32,890	28,168	34,173	34,335	37,729	30,875	21,063	16,311	12,692	6,746	2,863	1,021	325	168
2018.3/4	중랑구	등록외국인	4,745	187	137	86	94	399	606	635	503	348	482	516	468	202	56	15	4	3	3	1	-	-
2018.3/4	성북구	계	449,574	14,551	17,608	18,368	22,982	36,173	34,271	29,635	34,788	34,190	40,826	34,379	34,872	29,484	21,108	17,472	14,902	8,341	3,584	1,314	399	327
2018.3/4	성북구	한국인	438,031	14,339	17,458	18,269	22,263	31,475	32,357	28,558	34,142	33,751	40,364	33,958	34,490	29,302	21,038	17,440	14,882	8,331	3,576	1,314	398	326
2018.3/4	성북구	등록외국인	11,543	212	150	99	719	4,698	1,914	1,077	646	439	462	421	382	182	70	32	20	10	8	-	1	1
2018.3/4	강북구	계	324,276	8,877	10,514	10,920	14,905	21,972	23,173	20,436	24,325	23,199	28,607	26,417	28,698	24,492	18,228	15,624	13,012	6,736	2,666	937	314	224
2018.3/4	강북구	한국인	320,576	8,789	10,457	10,898	14,792	21,452	22,638	19,960	23,959	22,957	28,323	26,050	28,313	24,348	18,179	15,595	13,003	6,730	2,662	936	313	222
2018.3/4	강북구	등록외국인	3,700	88	57	22	113	520	535	476	366	242	284	367	385	144	49	29	9	6	4	1	1	2
2018.3/4	도봉구	계	342,990	10,440	12,203	12,875	17,352	23,103	23,858	21,315	25,226	23,977	30,210	28,692	31,356	26,884	17,943	14,262	11,930	6,673	3,159	1,087	303	142
2018.3/4	도봉구	한국인	340,876	10,387	12,167	12,853	17,297	22,810	23,525	21,025	24,996	23,806	30,015	28,508	31,216	26,809	17,924	14,252	11,926	6,671	3,158	1,086	303	142
2018.3/4	도봉구	등록외국인	2,114	53	36	22	55	293	333	290	230	171	195	184	140	75	19	10	4	2	1	1	-	-
2018.3/4	노원구	계	551,069	17,586	21,318	26,270	35,420	42,370	36,307	32,639	40,342	41,910	53,283	45,304	44,956	36,898	24,828	19,093	16,005	9,699	4,539	1,609	453	240
2018.3/4	노원구	한국인	546,911	17,521	21,274	26,243	35,129	41,227	35,647	32,163	40,026	41,650	53,020	45,057	44,756	36,798	24,800	19,073	15,995	9,694	4,538	1,608	453	239
2018.3/4	노원구	등록외국인	4,158	65	44	27	291	1,143	660	476	316	260	263	247	200	100	28	20	10	5	1	1	-	1
2018.3/4	은평구	계	487,849	15,790	18,221	19,048	24,492	31,313	34,986	32,887	40,182	37,621	43,864	38,280	40,428	34,094	24,301	20,325	16,750	9,244	3,865	1,389	388	381
2018.3/4	은평구	한국인	483,417	15,677	18,128	18,983	24,305	31,006	34,455	32,273	39,651	37,240	43,472	37,851	40,019	33,874	24,225	20,285	16,729	9,229	3,859	1,387	388	381
2018.3/4	은평구	등록외국인	4,432	113	93	65	187	307	531	614	531	381	392	429	409	220	76	40	21	15	6	2	-	-
2018.3/4	서대문구	계	322,497	10,380	11,122	11,284	15,364	26,998	27,776	22,496	24,710	23,090	27,550	24,890	25,504	21,055	14,850	12,884	11,402	6,708	2,809	1,050	337	238
